id,x,y
"1",79.1881547139,41.7506043513
"2",90.2296535052,36.0394842869
"3",109.5205479452,40.4814665592
"4",129.1921837228,43.0197421434
"5",137.6954069299,53.9343271555
"6",134.2687348912,64.5950846092
"7",120.4351329573,71.8291700242
"8",106.6015310234,71.9560838034
"9",93.2755842063,67.7679290894
"10",85.0261885576,54.3150684932
